duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_rerror_rate,label,anomaly
0.0,tcp,other,S1,133,0,1,1,1.0,0.0,1.0,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,udp,other,OTH,80,0,2,2,1.0,0.0,0.5,0.0,1,1,1.0,0.0,0.0,0.0,normal,0
0.0,tcp,https,S1,54,0,3,1,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,https,S1,55,0,4,2,0.5,0.5,0.75,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,60,0,5,3,0.6,0.4,0.8,0.0,11,11,1.0,0.0,1.0,0.0,normal,0
0.0,udp,other,OTH,80,0,6,4,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.0,12,12,1.0,0.0,0.9166666666666666,0.0,normal,0
0.0,tcp,other,S1,141,0,7,5,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.0,33,33,1.0,0.0,0.9696969696969697,0.0,normal,0
0.0,tcp,https,S1,571,0,8,3,0.375,0.625,0.75,0.0,26,26,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,https,S1,54,0,9,4,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,http,SF,54,0,10,1,0.1,0.9,0.7,0.0,33,1,0.030303030303030304,0.9696969696969697,0.9696969696969697,0.0,normal,0
0.0,tcp,https,S0,66,0,11,5,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,12,6,0.5,0.5,0.75,0.0,103,103,1.0,0.0,0.9902912621359223,0.0,normal,0
0.0,tcp,other,S1,1454,0,13,7,0.5384615384615384,0.46153846153846156,0.7692307692307693,0.0,104,104,1.0,0.0,0.9903846153846154,0.0,normal,0
0.0,tcp,other,SF,60,0,14,8,0.5714285714285714,0.4285714285714286,0.7142857142857143,0.0,109,109,1.0,0.0,0.981651376146789,0.0,normal,0
0.0,udp,other,OTH,80,0,15,9,0.6,0.4,0.6666666666666666,0.0,2,2,1.0,0.0,0.0,0.0,normal,0
0.0,udp,other,OTH,62,0,16,10,0.625,0.375,0.625,0.0,1,1,1.0,0.0,0.0,0.0,normal,0
0.0,udp,other,OTH,80,0,17,11,0.6470588235294118,0.3529411764705882,0.5882352941176471,0.0,3,3,1.0,0.0,0.0,0.0,normal,0
0.0,udp,other,OTH,80,0,18,12,0.6666666666666666,0.33333333333333337,0.5555555555555556,0.0,110,110,1.0,0.0,0.9727272727272728,0.0,normal,0
0.0,udp,other,OTH,80,0,19,13,0.6842105263157895,0.3157894736842105,0.5263157894736842,0.0,141,141,1.0,0.0,0.9716312056737588,0.0,normal,0
0.0,tcp,other,S1,168,0,20,14,0.7,0.30000000000000004,0.55,0.0,142,142,1.0,0.0,0.971830985915493,0.0,normal,0
0.0,tcp,other,S1,164,0,21,15,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,164,0,22,16,0.7272727272727273,0.2727272727272727,0.5909090909090909,0.0,2,2,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,164,0,23,17,0.7391304347826086,0.26086956521739135,0.6086956521739131,0.0,3,3,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,60,0,24,18,0.75,0.25,0.625,0.0,144,144,1.0,0.0,0.9722222222222222,0.0,normal,0
0.0,tcp,other,S1,60,0,25,19,0.76,0.24,0.64,0.0,145,145,1.0,0.0,0.9724137931034482,0.0,normal,0
0.0,tcp,http,SF,54,0,26,2,0.07692307692307693,0.9230769230769231,0.6153846153846154,0.0,70,3,0.04285714285714286,0.9571428571428572,0.9571428571428572,0.0,normal,0
0.0,tcp,https,S0,66,0,27,6,0.2222222222222222,0.7777777777777778,0.6296296296296297,0.0,3,3,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,28,20,0.7142857142857143,0.2857142857142857,0.6428571428571429,0.0,218,218,1.0,0.0,0.9770642201834863,0.0,normal,0
0.0,tcp,other,SF,60,0,29,21,0.7241379310344828,0.27586206896551724,0.6206896551724138,0.0,219,219,1.0,0.0,0.9726027397260274,0.0,normal,0
0.0,tcp,https,S1,571,0,30,7,0.23333333333333334,0.7666666666666666,0.6333333333333333,0.0,5,5,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,60,0,31,22,0.7096774193548387,0.29032258064516125,0.6451612903225806,0.0,223,223,1.0,0.0,0.968609865470852,0.0,normal,0
0.0,tcp,http,S0,66,0,32,3,0.09375,0.90625,0.65625,0.0,57,1,0.017543859649122806,0.9824561403508771,1.0,0.0,normal,0
0.0,tcp,http,S0,66,0,33,4,0.12121212121212122,0.8787878787878788,0.6666666666666666,0.0,75,2,0.02666666666666667,0.9733333333333334,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,34,23,0.6764705882352942,0.32352941176470584,0.6764705882352942,0.0,369,369,1.0,0.0,0.959349593495935,0.0,normal,0
0.0,tcp,other,S1,66,0,35,24,0.6857142857142857,0.3142857142857143,0.6857142857142857,0.0,370,370,1.0,0.0,0.9594594594594594,0.0,normal,0
0.0,tcp,https,S0,66,0,36,8,0.2222222222222222,0.7777777777777778,0.6944444444444444,0.0,90,84,0.9333333333333333,0.06666666666666665,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,37,25,0.6756756756756757,0.32432432432432434,0.7027027027027027,0.0,392,392,1.0,0.0,0.9617346938775511,0.0,normal,0
0.0,tcp,https,S0,66,0,38,9,0.23684210526315788,0.7631578947368421,0.7105263157894737,0.0,92,86,0.9347826086956522,0.06521739130434778,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,39,26,0.6666666666666666,0.33333333333333337,0.717948717948718,0.0,395,395,1.0,0.0,0.959493670886076,0.0,normal,0
0.0,tcp,https,S1,55,0,40,10,0.25,0.75,0.725,0.0,2,2,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,60,0,41,27,0.6585365853658537,0.3414634146341463,0.7317073170731707,0.0,396,396,1.0,0.0,0.9595959595959596,0.0,normal,0
0.0,other,other,OTH,60,0,42,28,0.6666666666666666,0.33333333333333337,0.7142857142857143,0.0,398,398,1.0,0.0,0.9547738693467337,0.0,normal,0
0.0,tcp,http,S0,66,0,42,5,0.11904761904761904,0.8809523809523809,0.7142857142857143,0.0,110,9,0.08181818181818182,0.9181818181818182,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,42,27,0.6428571428571429,0.3571428571428571,0.7380952380952381,0.0,427,427,1.0,0.0,0.9578454332552693,0.0,normal,0
0.0,tcp,https,S0,66,0,39,9,0.23076923076923078,0.7692307692307692,0.7435897435897436,0.0,114,103,0.9035087719298246,0.0964912280701754,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,39,25,0.6410256410256411,0.3589743589743589,0.7435897435897436,0.0,432,432,1.0,0.0,0.9560185185185185,0.0,normal,0
0.0,udp,other,OTH,102,0,29,19,0.6551724137931034,0.3448275862068966,0.8275862068965517,0.0,1,1,1.0,0.0,0.0,0.0,normal,0
0.0,udp,domain,OTH,79,0,10,1,0.1,0.9,0.7,0.0,1,1,1.0,0.0,0.0,0.0,normal,0
0.0,udp,domain,OTH,79,0,11,2,0.18181818181818182,0.8181818181818181,0.6363636363636364,0.0,2,2,1.0,0.0,0.0,0.0,normal,0
0.0,udp,domain,OTH,79,0,12,3,0.25,0.75,0.5833333333333334,0.0,3,3,1.0,0.0,0.0,0.0,normal,0
0.0,udp,other,OTH,153,0,13,7,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.0,625,625,1.0,0.0,0.9472,0.0,normal,0
0.0,udp,other,OTH,131,0,14,8,0.5714285714285714,0.4285714285714286,0.5,0.0,626,626,1.0,0.0,0.9456869009584664,0.0,normal,0
0.0,udp,other,OTH,119,0,15,9,0.6,0.4,0.4666666666666667,0.0,627,627,1.0,0.0,0.9441786283891547,0.0,normal,0
0.0,udp,other,OTH,158,0,1,1,1.0,0.0,0.0,0.0,650,650,1.0,0.0,0.92,0.0,normal,0
0.0,udp,other,OTH,158,0,2,2,1.0,0.0,0.0,0.0,654,654,1.0,0.0,0.9143730886850153,0.0,normal,0
0.0,tcp,https,S1,55,0,1,1,1.0,0.0,1.0,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,2,1,0.5,0.5,1.0,0.0,683,683,1.0,0.0,0.8784773060029283,0.0,normal,0
0.0,tcp,https,S0,66,0,3,2,0.6666666666666666,0.33333333333333337,1.0,0.0,73,69,0.9452054794520548,0.0547945205479452,0.9452054794520548,0.0,normal,0
0.0,tcp,other,S1,66,0,4,2,0.5,0.5,1.0,0.0,685,685,1.0,0.0,0.8773722627737226,0.0,normal,0
0.0,tcp,https,S0,66,0,5,3,0.6,0.4,1.0,0.0,75,71,0.9466666666666667,0.053333333333333344,0.9466666666666667,0.0,normal,0
0.0,tcp,other,S1,66,0,6,3,0.5,0.5,1.0,0.0,689,689,1.0,0.0,0.8737300435413643,0.0,normal,0
